country_code,age,timeliness,prop_final_cov
AFG,,,0.971142
AFG,0,0,
AFG,1,0.000504877,
AFG,2,0.000742972,
AFG,3,0.000885829,
AFG,4,0.000885829,
AFG,5,0.001499713,
AFG,6,0.001833046,
AFG,7,0.001964951,
AFG,8,0.001964951,
AFG,9,0.002058285,
AFG,10,0.002330189,
AFG,11,0.002390189,
AFG,12,0.002485427,
AFG,13,0.002628285,
AFG,14,0.002761618,
AFG,15,0.002761618,
AFG,16,0.003258462,
AFG,17,0.003875789,
AFG,18,0.011948078,
AFG,19,0.011948078,
AFG,20,0.012090935,
AFG,21,0.012090935,
AFG,22,0.018295984,
AFG,23,0.018888067,
AFG,24,0.022843775,
AFG,25,0.023086632,
AFG,26,0.023729489,
AFG,27,0.026572461,
AFG,28,0.028028055,
AFG,29,0.029253471,
AFG,30,0.032994894,
AFG,31,0.037879116,
AFG,32,0.039474355,
AFG,33,0.040677567,
AFG,34,0.044861733,
AFG,35,0.063700516,
AFG,36,0.0797642,
AFG,37,0.097685026,
AFG,38,0.1336856,
AFG,39,0.217464142,
AFG,40,0.425117613,
AFG,41,0.537102697,
AFG,42,0.607596099,
AFG,43,0.643247275,
AFG,44,0.670803213,
AFG,45,0.692438325,
AFG,46,0.730137694,
AFG,47,0.741566265,
AFG,48,0.755106139,
AFG,49,0.771979346,
AFG,50,0.78551922,
AFG,51,0.794297189,
AFG,52,0.807091222,
AFG,56,0.837504303,
AFG,61,0.859076305,
AFG,65,0.877378084,
AFG,69,0.90296615,
AFG,74,0.914331612,
AFG,78,0.919093517,
AFG,82,0.927871486,
AFG,87,0.939982788,
AFG,91,0.939982788,
AFG,95,0.963046472,
AFG,100,0.966379805,
AFG,104,0.97114171,
AFG,108,0.97114171,
AFG,113,0.97114171,
AFG,117,0.97114171,
AFG,121,0.975157774,
AFG,126,0.979173838,
AFG,130,0.979173838,
AFG,134,0.983935743,
AFG,139,0.983935743,
AFG,143,0.991967871,
AFG,147,0.991967871,
AFG,152,1,
AGO,,,0.801205
AGO,0,0,
AGO,1,0.00077657,
AGO,2,0.000873302,
AGO,3,0.002113963,
AGO,4,0.002481994,
AGO,5,0.003092525,
AGO,6,0.004091274,
AGO,7,0.004427161,
AGO,8,0.005019634,
AGO,9,0.007404293,
AGO,10,0.007848964,
AGO,11,0.008198898,
AGO,12,0.009610844,
AGO,13,0.010840226,
AGO,14,0.012183568,
AGO,15,0.013043606,
AGO,16,0.014245995,
AGO,17,0.015607669,
AGO,18,0.017666779,
AGO,19,0.018726042,
AGO,20,0.020486797,
AGO,21,0.022194273,
AGO,22,0.024833693,
AGO,23,0.027201987,
AGO,24,0.030052325,
AGO,25,0.031723388,
AGO,26,0.033964937,
AGO,27,0.037785549,
AGO,28,0.040709565,
AGO,29,0.044252566,
AGO,30,0.046601747,
AGO,31,0.050244463,
AGO,32,0.056022619,
AGO,33,0.061647401,
AGO,34,0.068944502,
AGO,35,0.077436649,
AGO,36,0.089921357,
AGO,37,0.110906824,
AGO,38,0.138738265,
AGO,39,0.183651337,
AGO,40,0.322231503,
