vaccine,country_code,country,year,coverage
MCV1,IND,India,1980,0
MCV1,IND,India,1981,0
MCV1,IND,India,1982,0
MCV1,IND,India,1983,0
MCV1,IND,India,1984,0
MCV1,IND,India,1985,0.01
MCV1,IND,India,1986,0.1
MCV1,IND,India,1987,0.24
MCV1,IND,India,1988,0.32
MCV1,IND,India,1989,0.42
MCV1,IND,India,1990,0.56
MCV1,IND,India,1991,0.43
MCV1,IND,India,1992,0.51
MCV1,IND,India,1993,0.59
MCV1,IND,India,1994,0.67
MCV1,IND,India,1995,0.72
MCV1,IND,India,1996,0.66
MCV1,IND,India,1997,0.55
MCV1,IND,India,1998,0.53
MCV1,IND,India,1999,0.56
MCV1,IND,India,2000,0.56
MCV1,IND,India,2001,0.57
MCV1,IND,India,2002,0.56
MCV1,IND,India,2003,0.6
MCV1,IND,India,2004,0.64
MCV1,IND,India,2005,0.68
MCV1,IND,India,2006,0.69
MCV1,IND,India,2007,0.7
MCV1,IND,India,2008,0.72
MCV1,IND,India,2009,0.78
MCV1,IND,India,2010,0.82
MCV1,IND,India,2011,0.84
MCV1,IND,India,2012,0.83
MCV1,IND,India,2013,0.83
MCV1,IND,India,2014,0.85
MCV1,IND,India,2015,0.87
MCV1,IND,India,2016,0.88
MCV1,IND,India,2017,0.9
MCV1,IND,India,2018,0.93
MCV1,IND,India,2019,0.95
MCV1,IND,India,2020,0.89
MCV1,IND,India,2021,0.95
MCV1,IND,India,2022,0.95
MCV1,IND,India,2023,0.95
MCV1,IND,India,2024,0.95
MCV1,IND,India,2025,0.95
MCV1,IND,India,2026,0.95
MCV1,IND,India,2027,0.95
MCV1,IND,India,2028,0.95
MCV1,IND,India,2029,0.95
MCV1,IND,India,2030,0.95
MCV1,IND,India,2031,0.95
MCV1,IND,India,2032,0.95
MCV1,IND,India,2033,0.95
MCV1,IND,India,2034,0.95
MCV1,IND,India,2035,0.95
MCV1,IND,India,2036,0.95
MCV1,IND,India,2037,0.95
MCV1,IND,India,2038,0.95
MCV1,IND,India,2039,0.95
MCV1,IND,India,2040,0.95
MCV1,IND,India,2041,0.95
MCV1,IND,India,2042,0.95
MCV1,IND,India,2043,0.95
MCV1,IND,India,2044,0.95
MCV1,IND,India,2045,0.95
MCV1,IND,India,2046,0.95
MCV1,IND,India,2047,0.95
MCV1,IND,India,2048,0.95
MCV1,IND,India,2049,0.95
MCV1,IND,India,2050,0.95
MCV1,IND,India,2051,0.95
MCV1,IND,India,2052,0.95
MCV1,IND,India,2053,0.95
MCV1,IND,India,2054,0.95
MCV1,IND,India,2055,0.95
MCV1,IND,India,2056,0.95
MCV1,IND,India,2057,0.95
MCV1,IND,India,2058,0.95
MCV1,IND,India,2059,0.95
MCV1,IND,India,2060,0.95
MCV1,IND,India,2061,0.95
MCV1,IND,India,2062,0.95
MCV1,IND,India,2063,0.95
MCV1,IND,India,2064,0.95
MCV1,IND,India,2065,0.95
MCV1,IND,India,2066,0.95
MCV1,IND,India,2067,0.95
MCV1,IND,India,2068,0.95
MCV1,IND,India,2069,0.95
MCV1,IND,India,2070,0.95
MCV1,IND,India,2071,0.95
MCV1,IND,India,2072,0.95
MCV1,IND,India,2073,0.95
MCV1,IND,India,2074,0.95
MCV1,IND,India,2075,0.95
MCV1,IND,India,2076,0.95
MCV1,IND,India,2077,0.95
MCV1,IND,India,2078,0.95
MCV1,IND,India,2079,0.95
MCV1,IND,India,2080,0.95
MCV1,IND,India,2081,0.95
MCV1,IND,India,2082,0.95
MCV1,IND,India,2083,0.95
MCV1,IND,India,2084,0.95
MCV1,IND,India,2085,0.95
MCV1,IND,India,2086,0.95
MCV1,IND,India,2087,0.95
MCV1,IND,India,2088,0.95
MCV1,IND,India,2089,0.95
MCV1,IND,India,2090,0.95
MCV1,IND,India,2091,0.95
MCV1,IND,India,2092,0.95
MCV1,IND,India,2093,0.95
MCV1,IND,India,2094,0.95
MCV1,IND,India,2095,0.95
MCV1,IND,India,2096,0.95
MCV1,IND,India,2097,0.95
MCV1,IND,India,2098,0.95
MCV1,IND,India,2099,0.95
MCV1,IND,India,2100,0.95
MCV1,NGA,Nigeria,1980,0
MCV1,NGA,Nigeria,1981,0
MCV1,NGA,Nigeria,1982,0
MCV1,NGA,Nigeria,1983,0
MCV1,NGA,Nigeria,1984,0.09
MCV1,NGA,Nigeria,1985,0.17
MCV1,NGA,Nigeria,1986,0.28
MCV1,NGA,Nigeria,1987,0.36
MCV1,NGA,Nigeria,1988,0.46
MCV1,NGA,Nigeria,1989,0.59
MCV1,NGA,Nigeria,1990,0.54
MCV1,NGA,Nigeria,1991,0.57
MCV1,NGA,Nigeria,1992,0.43
MCV1,NGA,Nigeria,1993,0.4
MCV1,NGA,Nigeria,1994,0.41
MCV1,NGA,Nigeria,1995,0.44
MCV1,NGA,Nigeria,1996,0.38
MCV1,NGA,Nigeria,1997,0.38
MCV1,NGA,Nigeria,1998,0.38
MCV1,NGA,Nigeria,1999,0.35
MCV1,NGA,Nigeria,2000,0.33
MCV1,NGA,Nigeria,2001,0.32
MCV1,NGA,Nigeria,2002,0.3
MCV1,NGA,Nigeria,2003,0.34
MCV1,NGA,Nigeria,2004,0.37
MCV1,NGA,Nigeria,2005,0.41
MCV1,NGA,Nigeria,2006,0.44
MCV1,NGA,Nigeria,2007,0.41
MCV1,NGA,Nigeria,2008,0.53
MCV1,NGA,Nigeria,2009,0.64
MCV1,NGA,Nigeria,2010,0.56
MCV1,NGA,Nigeria,2011,0.49
MCV1,NGA,Nigeria,2012,0.42
MCV1,NGA,Nigeria,2013,0.43
MCV1,NGA,Nigeria,2014,0.44
MCV1,NGA,Nigeria,2015,0.42
MCV1,NGA,Nigeria,2016,0.51
MCV1,NGA,Nigeria,2017,0.54
MCV1,NGA,Nigeria,2018,0.54
MCV1,NGA,Nigeria,2019,0.54
MCV1,NGA,Nigeria,2020,0.54
MCV1,NGA,Nigeria,2021,0.55
MCV1,NGA,Nigeria,2022,0.55
MCV1,NGA,Nigeria,2023,0.56
MCV1,NGA,Nigeria,2024,0.57
MCV1,NGA,Nigeria,2025,0.58
MCV1,NGA,Nigeria,2026,0.59
MCV1,NGA,Nigeria,2027,0.6
MCV1,NGA,Nigeria,2028,0.61
MCV1,NGA,Nigeria,2029,0.62
MCV1,NGA,Nigeria,2030,0.63
MCV1,NGA,Nigeria,2031,0.64
MCV1,NGA,Nigeria,2032,0.65
MCV1,NGA,Nigeria,2033,0.66
MCV1,NGA,Nigeria,2034,0.67
MCV1,NGA,Nigeria,2035,0.68
MCV1,NGA,Nigeria,2036,0.69
MCV1,NGA,Nigeria,2037,0.7
MCV1,NGA,Nigeria,2038,0.71
MCV1,NGA,Nigeria,2039,0.72
MCV1,NGA,Nigeria,2040,0.73
MCV1,NGA,Nigeria,2041,0.74
MCV1,NGA,Nigeria,2042,0.75
MCV1,NGA,Nigeria,2043,0.76
MCV1,NGA,Nigeria,2044,0.77
MCV1,NGA,Nigeria,2045,0.78
MCV1,NGA,Nigeria,2046,0.79
MCV1,NGA,Nigeria,2047,0.8
MCV1,NGA,Nigeria,2048,0.81
MCV1,NGA,Nigeria,2049,0.82
MCV1,NGA,Nigeria,2050,0.83
MCV1,NGA,Nigeria,2051,0.84
MCV1,NGA,Nigeria,2052,0.85
MCV1,NGA,Nigeria,2053,0.86
MCV1,NGA,Nigeria,2054,0.87
MCV1,NGA,Nigeria,2055,0.88
MCV1,NGA,Nigeria,2056,0.89
MCV1,NGA,Nigeria,2057,0.9
MCV1,NGA,Nigeria,2058,0.91
MCV1,NGA,Nigeria,2059,0.92
MCV1,NGA,Nigeria,2060,0.93
MCV1,NGA,Nigeria,2061,0.94
MCV1,NGA,Nigeria,2062,0.95
MCV1,NGA,Nigeria,2063,0.95
MCV1,NGA,Nigeria,2064,0.95
MCV1,NGA,Nigeria,2065,0.95
MCV1,NGA,Nigeria,2066,0.95
MCV1,NGA,Nigeria,2067,0.95
MCV1,NGA,Nigeria,2068,0.95
MCV1,NGA,Nigeria,2069,0.95
MCV1,NGA,Nigeria,2070,0.95
MCV1,NGA,Nigeria,2071,0.95
MCV1,NGA,Nigeria,2072,0.95
MCV1,NGA,Nigeria,2073,0.95
MCV1,NGA,Nigeria,2074,0.95
MCV1,NGA,Nigeria,2075,0.95
MCV1,NGA,Nigeria,2076,0.95
MCV1,NGA,Nigeria,2077,0.95
MCV1,NGA,Nigeria,2078,0.95
MCV1,NGA,Nigeria,2079,0.95
MCV1,NGA,Nigeria,2080,0.95
MCV1,NGA,Nigeria,2081,0.95
MCV1,NGA,Nigeria,2082,0.95
MCV1,NGA,Nigeria,2083,0.95
MCV1,NGA,Nigeria,2084,0.95
MCV1,NGA,Nigeria,2085,0.95
MCV1,NGA,Nigeria,2086,0.95
MCV1,NGA,Nigeria,2087,0.95
MCV1,NGA,Nigeria,2088,0.95
MCV1,NGA,Nigeria,2089,0.95
MCV1,NGA,Nigeria,2090,0.95
MCV1,NGA,Nigeria,2091,0.95
MCV1,NGA,Nigeria,2092,0.95
MCV1,NGA,Nigeria,2093,0.95
MCV1,NGA,Nigeria,2094,0.95
MCV1,NGA,Nigeria,2095,0.95
MCV1,NGA,Nigeria,2096,0.95
MCV1,NGA,Nigeria,2097,0.95
MCV1,NGA,Nigeria,2098,0.95
MCV1,NGA,Nigeria,2099,0.95
MCV1,NGA,Nigeria,2100,0.95
MCV1,PAK,Pakistan,1980,0.01
MCV1,PAK,Pakistan,1981,0.02
MCV1,PAK,Pakistan,1982,0.03
MCV1,PAK,Pakistan,1983,0.19
MCV1,PAK,Pakistan,1984,0.33
MCV1,PAK,Pakistan,1985,0.38
MCV1,PAK,Pakistan,1986,0.41
MCV1,PAK,Pakistan,1987,0.43
MCV1,PAK,Pakistan,1988,0.46
MCV1,PAK,Pakistan,1989,0.48
MCV1,PAK,Pakistan,1990,0.5
MCV1,PAK,Pakistan,1991,0.51
MCV1,PAK,Pakistan,1992,0.52
MCV1,PAK,Pakistan,1993,0.52
MCV1,PAK,Pakistan,1994,0.53
MCV1,PAK,Pakistan,1995,0.47
MCV1,PAK,Pakistan,1996,0.5
MCV1,PAK,Pakistan,1997,0.52
MCV1,PAK,Pakistan,1998,0.54
MCV1,PAK,Pakistan,1999,0.56
MCV1,PAK,Pakistan,2000,0.57
MCV1,PAK,Pakistan,2001,0.59
MCV1,PAK,Pakistan,2002,0.6
MCV1,PAK,Pakistan,2003,0.62
MCV1,PAK,Pakistan,2004,0.63
MCV1,PAK,Pakistan,2005,0.61
MCV1,PAK,Pakistan,2006,0.59
MCV1,PAK,Pakistan,2007,0.57
MCV1,PAK,Pakistan,2008,0.56
MCV1,PAK,Pakistan,2009,0.56
MCV1,PAK,Pakistan,2010,0.57
MCV1,PAK,Pakistan,2011,0.59
MCV1,PAK,Pakistan,2012,0.63
MCV1,PAK,Pakistan,2013,0.68
MCV1,PAK,Pakistan,2014,0.71
MCV1,PAK,Pakistan,2015,0.75
MCV1,PAK,Pakistan,2016,0.75
MCV1,PAK,Pakistan,2017,0.76
MCV1,PAK,Pakistan,2018,0.79
MCV1,PAK,Pakistan,2019,0.81
MCV1,PAK,Pakistan,2020,0.83
MCV1,PAK,Pakistan,2021,0.83
MCV1,PAK,Pakistan,2022,0.83
MCV1,PAK,Pakistan,2023,0.84
MCV1,PAK,Pakistan,2024,0.85
MCV1,PAK,Pakistan,2025,0.86
MCV1,PAK,Pakistan,2026,0.87
MCV1,PAK,Pakistan,2027,0.88
MCV1,PAK,Pakistan,2028,0.89
MCV1,PAK,Pakistan,2029,0.9
MCV1,PAK,Pakistan,2030,0.91
MCV1,PAK,Pakistan,2031,0.92
MCV1,PAK,Pakistan,2032,0.93
MCV1,PAK,Pakistan,2033,0.94
MCV1,PAK,Pakistan,2034,0.95
MCV1,PAK,Pakistan,2035,0.95
MCV1,PAK,Pakistan,2036,0.95
MCV1,PAK,Pakistan,2037,0.95
MCV1,PAK,Pakistan,2038,0.95
MCV1,PAK,Pakistan,2039,0.95
MCV1,PAK,Pakistan,2040,0.95
MCV1,PAK,Pakistan,2041,0.95
MCV1,PAK,Pakistan,2042,0.95
MCV1,PAK,Pakistan,2043,0.95
MCV1,PAK,Pakistan,2044,0.95
MCV1,PAK,Pakistan,2045,0.95
MCV1,PAK,Pakistan,2046,0.95
MCV1,PAK,Pakistan,2047,0.95
MCV1,PAK,Pakistan,2048,0.95
MCV1,PAK,Pakistan,2049,0.95
MCV1,PAK,Pakistan,2050,0.95
MCV1,PAK,Pakistan,2051,0.95
MCV1,PAK,Pakistan,2052,0.95
MCV1,PAK,Pakistan,2053,0.95
MCV1,PAK,Pakistan,2054,0.95
MCV1,PAK,Pakistan,2055,0.95
MCV1,PAK,Pakistan,2056,0.95
MCV1,PAK,Pakistan,2057,0.95
MCV1,PAK,Pakistan,2058,0.95
MCV1,PAK,Pakistan,2059,0.95
MCV1,PAK,Pakistan,2060,0.95
MCV1,PAK,Pakistan,2061,0.95
MCV1,PAK,Pakistan,2062,0.95
MCV1,PAK,Pakistan,2063,0.95
MCV1,PAK,Pakistan,2064,0.95
MCV1,PAK,Pakistan,2065,0.95
MCV1,PAK,Pakistan,2066,0.95
MCV1,PAK,Pakistan,2067,0.95
MCV1,PAK,Pakistan,2068,0.95
MCV1,PAK,Pakistan,2069,0.95
MCV1,PAK,Pakistan,2070,0.95
MCV1,PAK,Pakistan,2071,0.95
MCV1,PAK,Pakistan,2072,0.95
MCV1,PAK,Pakistan,2073,0.95
MCV1,PAK,Pakistan,2074,0.95
MCV1,PAK,Pakistan,2075,0.95
MCV1,PAK,Pakistan,2076,0.95
MCV1,PAK,Pakistan,2077,0.95
MCV1,PAK,Pakistan,2078,0.95
MCV1,PAK,Pakistan,2079,0.95
MCV1,PAK,Pakistan,2080,0.95
MCV1,PAK,Pakistan,2081,0.95
MCV1,PAK,Pakistan,2082,0.95
MCV1,PAK,Pakistan,2083,0.95
MCV1,PAK,Pakistan,2084,0.95
MCV1,PAK,Pakistan,2085,0.95
MCV1,PAK,Pakistan,2086,0.95
MCV1,PAK,Pakistan,2087,0.95
MCV1,PAK,Pakistan,2088,0.95
MCV1,PAK,Pakistan,2089,0.95
MCV1,PAK,Pakistan,2090,0.95
MCV1,PAK,Pakistan,2091,0.95
MCV1,PAK,Pakistan,2092,0.95
MCV1,PAK,Pakistan,2093,0.95
MCV1,PAK,Pakistan,2094,0.95
MCV1,PAK,Pakistan,2095,0.95
MCV1,PAK,Pakistan,2096,0.95
MCV1,PAK,Pakistan,2097,0.95
MCV1,PAK,Pakistan,2098,0.95
MCV1,PAK,Pakistan,2099,0.95
MCV1,PAK,Pakistan,2100,0.95
MCV1,ETH,Ethiopia,1980,0.04
MCV1,ETH,Ethiopia,1981,0.03
MCV1,ETH,Ethiopia,1982,0.07
MCV1,ETH,Ethiopia,1983,0.07
MCV1,ETH,Ethiopia,1984,0.08
MCV1,ETH,Ethiopia,1985,0.12
MCV1,ETH,Ethiopia,1986,0.1
MCV1,ETH,Ethiopia,1987,0.13
MCV1,ETH,Ethiopia,1988,0.15
MCV1,ETH,Ethiopia,1989,0.23
MCV1,ETH,Ethiopia,1990,0.38
MCV1,ETH,Ethiopia,1991,0.17
MCV1,ETH,Ethiopia,1992,0.12
MCV1,ETH,Ethiopia,1993,0.22
MCV1,ETH,Ethiopia,1994,0.54
MCV1,ETH,Ethiopia,1995,0.38
MCV1,ETH,Ethiopia,1996,0.54
MCV1,ETH,Ethiopia,1997,0.51
MCV1,ETH,Ethiopia,1998,0.44
MCV1,ETH,Ethiopia,1999,0.37
MCV1,ETH,Ethiopia,2000,0.36
MCV1,ETH,Ethiopia,2001,0.35
MCV1,ETH,Ethiopia,2002,0.36
MCV1,ETH,Ethiopia,2003,0.35
MCV1,ETH,Ethiopia,2004,0.35
MCV1,ETH,Ethiopia,2005,0.4
MCV1,ETH,Ethiopia,2006,0.44
MCV1,ETH,Ethiopia,2007,0.49
MCV1,ETH,Ethiopia,2008,0.54
MCV1,ETH,Ethiopia,2009,0.59
MCV1,ETH,Ethiopia,2010,0.64
MCV1,ETH,Ethiopia,2011,0.68
MCV1,ETH,Ethiopia,2012,0.62
MCV1,ETH,Ethiopia,2013,0.55
MCV1,ETH,Ethiopia,2014,0.54
MCV1,ETH,Ethiopia,2015,0.56
MCV1,ETH,Ethiopia,2016,0.57
MCV1,ETH,Ethiopia,2017,0.59
MCV1,ETH,Ethiopia,2018,0.55
MCV1,ETH,Ethiopia,2019,0.58
MCV1,ETH,Ethiopia,2020,0.6
MCV1,ETH,Ethiopia,2021,0.6
MCV1,ETH,Ethiopia,2022,0.6
MCV1,ETH,Ethiopia,2023,0.61
MCV1,ETH,Ethiopia,2024,0.62
MCV1,ETH,Ethiopia,2025,0.63
